season_id,matchup_home,season_type,min,team_name_home,fg3m_home,fg3a_home,fg3_pct_home,wl_home,team_name_away,fg3m_away,fg3a_away,fg3_pct_away,wl_away,highest_3pp,highest_3pp_wl
22015,BOS vs. BKN,Regular Season,240,Boston Celtics,10,29,0.345,W,Brooklyn Nets,8,19,0.421,L,0.421,L
22015,MIA vs. PHI,Regular Season,240,Miami Heat,5,18,0.278,W,Philadelphia 76ers,10,31,0.323,L,0.323,L
22015,CLE vs. ATL,Regular Season,240,Cleveland Cavaliers,11,29,0.379,W,Atlanta Hawks,11,28,0.393,L,0.393,L
22015,HOU vs. NYK,Regular Season,240,Houston Rockets,12,28,0.429,L,New York Knicks,12,25,0.48,W,0.48,W
22015,ORL vs. SAC,Regular Season,240,Orlando Magic,9,31,0.29,L,Sacramento Kings,7,20,0.35,W,0.35,W
22015,DET vs. WAS,Regular Season,240,Detroit Pistons,8,26,0.308,L,Washington Wizards,7,19,0.368,W,0.368,W
22015,SAS vs. MEM,Regular Season,240,San Antonio Spurs,7,21,0.333,W,Memphis Grizzlies,1,9,0.111,L,0.333,W
22015,IND vs. MIL,Regular Season,240,Indiana Pacers,15,30,0.5,W,Milwaukee Bucks,5,17,0.294,L,0.5,W
22015,BKN vs. BOS,Regular Season,240,Brooklyn Nets,5,15,0.333,W,Boston Celtics,14,37,0.378,L,0.378,L
22015,DEN vs. GSW,Regular Season,240,Denver Nuggets,4,15,0.267,L,Golden State Warriors,15,29,0.517,W,0.517,W
22015,OKC vs. DAL,Regular Season,240,Oklahoma City Thunder,9,22,0.409,W,Dallas Mavericks,10,19,0.526,L,0.526,L
22015,LAL vs. POR,Regular Season,240,Los Angeles Lakers,6,18,0.333,L,Portland Trail Blazers,8,25,0.32,W,0.333,L
22015,NOP vs. PHX,Regular Season,240,New Orleans Pelicans,11,30,0.367,W,Phoenix Suns,17,36,0.472,L,0.472,L
22015,LAC vs. TOR,Regular Season,240,LA Clippers,7,32,0.219,L,Toronto Raptors,4,17,0.235,W,0.235,W
22015,SAS vs. PHX,Regular Season,240,San Antonio Spurs,9,20,0.45,W,Phoenix Suns,7,19,0.368,L,0.45,W
22015,MIA vs. NYK,Regular Season,240,Miami Heat,5,19,0.263,W,New York Knicks,4,24,0.167,L,0.263,W
22015,MIL vs. DET,Regular Season,240,Milwaukee Bucks,9,13,0.692,W,Detroit Pistons,6,28,0.214,L,0.692,W
22015,CLE vs. ORL,Regular Season,240,Cleveland Cavaliers,18,35,0.514,W,Orlando Magic,10,22,0.455,L,0.514,W
22015,MIN vs. PHI,Regular Season,240,Minnesota Timberwolves,3,12,0.25,W,Philadelphia 76ers,10,31,0.323,L,0.323,L
